thai,english,parts,n_parts,n_glossed,score_A,score_B,score_C
ฉันเหนื่อยแล้ว,I'm too tired,ฉัน+เหนื่อย+แล้ว,3,3,0.4659974917944518,0.4841119339532813,0.6541293819525669
เครงใจ,"considerate, respectful",เครง+ใจ,2,2,0.4703359010122456,0.381601557922549,0.8749514341844103
ผงซักฟอก,detergent,ผง+ซักฟอก,2,2,0.4706181986484405,0.4291478395462036,0.966368006644425
ผงซักฟอก,detergent,ผง+ซักฟอก,2,2,0.4706181986484405,0.4291478395462036,0.966368006644425
แม่ค้า,female merchant; seller,แม่+ค้า,2,2,0.4732139181163276,0.5262173382976844,0.7712935832752285
แน่นอน,"sure, certainly",แน่+นอน,2,2,0.47398796016149886,0.320285090242039,0.7208596012844875
ได้สิ,"sure, okay informal",ได้+สิ,2,2,0.47525340875018346,0.4010650099593413,0.9827940784262544
ทางลัด,shortcut,ทาง+ลัด,2,2,0.4769549557144964,0.3493311315376241,0.8047267554000002
ทางลัด,shortcut,ทาง+ลัด,2,2,0.4769549557144964,0.3493311315376241,0.8047267554000002
สามแยก,junction with three ways,สาม+แยก,2,2,0.48025596481249677,0.5472010160447945,0.9132954861708303
ขอบคุณ,thank you,ขอบ+คุณ,2,2,0.4817132085403707,0.3765719161374519,0.7236637892062697
ขอบคุณ,thank you,ขอบ+คุณ,2,2,0.4817132085403707,0.3765719161374519,0.7236637892062697
ขอบคุณ,thank you,ขอบ+คุณ,2,2,0.4817132085403707,0.3765719161374519,0.7236637892062697
ขอบคุณ,thank you,ขอบ+คุณ,2,2,0.4817132085403707,0.3765719161374519,0.7236637892062697
ห้องน้ำ,toilet,ห้อง+น้ำ,2,2,0.4833144858204926,0.39463743567466736,0.6018453796807388
ห้องน้ำ,toilet,ห้อง+น้ำ,2,2,0.4833144858204926,0.39463743567466736,0.6018453796807388
ไม่เก่ง,"not good at, unskilled",ไม่+เก่ง,2,2,0.4892359191228954,0.6339643001556396,0.6654152916491748
ที่แล้ว,ago; last,ที่+แล้ว,2,2,0.48997840617871885,0.41060906648635864,0.8568000021773162
น้องสาว,younger sister,น้อง+สาว,2,2,0.49287994815873387,0.4509953260421753,0.7285524549954147
น้องสาว,younger sister,น้อง+สาว,2,2,0.49287994815873387,0.4509953260421753,0.7285524549954147
ห้องน้ำ,toilet; bathroom,ห้อง+น้ำ,2,2,0.4934817379958572,0.4614216685295105,0.6018453796807388
ห้องน้ำ,toilet; bathroom,ห้อง+น้ำ,2,2,0.4934817379958572,0.4614216685295105,0.6018453796807388
สนใจ,to be interested in,สน+ใจ,2,2,0.4961647682875211,0.37527602910995483,0.8884993167525977
รถสองแถว,minibus,รถ+สอง+แถว,3,3,0.49730356197715436,0.4035899581664776,0.7685592416304167
ที่นี่ไหน,where is this place,ที่นี่+ไหน,2,2,0.49858915688315203,0.5266761779785156,0.9189909937203488
เมื่อวาน,yesterday,เมื่อ+วาน,2,2,0.5039318808321854,0.26334863901138306,0.8330221999215565
เมื่อวาน,yesterday,เมื่อ+วาน,2,2,0.5039318808321854,0.26334863901138306,0.8330221999215565
ประตู,door,ประ+ตู,2,2,0.5055857916978169,0.2825602889060974,0.5432300378780579
ประตู,door,ประ+ตู,2,2,0.5055857916978169,0.2825602889060974,0.5432300378780579
แม่ค้า,female merchant,แม่+ค้า,2,2,0.5069695583445574,0.5498994588851929,0.7712935832752285
ค่าห้อง,"room charge, room rate",ค่า+ห้อง,2,2,0.5076168299533098,0.5776789532708497,0.7587838665280721
เกินไป,too much,เกิน+ไป,2,2,0.5109955307783449,0.49332263986142155,0.8598558039755064
ตอนเช้า,morning,ตอน+เช้า,2,2,0.5175332713513898,0.21564365923404694,0.8061143008153473
ตอนเช้า,morning,ตอน+เช้า,2,2,0.5175332713513898,0.21564365923404694,0.8061143008153473
ตั้งแต่,from,ตั้ง+แต่,2,2,0.5194368060594473,0.3623221486382787,0.7666984865440118
พ่อค้า,male merchant; seller,พ่อ+ค้า,2,2,0.5194437334749099,0.5700285947288758,0.8110162927267207
น่ารัก,lovely; cute,น่า+รัก,2,2,0.5201752554749531,0.43291025953950046,0.7655634213518403
ของหวาน,dessert,ของ+หวาน,2,2,0.5243875337098427,0.4627718925476074,0.837386805438485
เมฆมาก,cloudy,เมฆ+มาก,2,2,0.5245875452837035,0.5459366711415883,0.7808799404927448
เมฆมาก,cloudy,เมฆ+มาก,2,2,0.5245875452837035,0.5459366711415883,0.7808799404927448
วางแผน,to plan,วาง+แผน,2,2,0.5246257278783457,0.4106493592262268,0.8372408100022377
เงินทอน,change (money),เงิน+ทอน,2,2,0.5250272471494368,0.5367139897772067,0.8424387974731311
เงินทอน,change (money),เงิน+ทอน,2,2,0.5250272471494368,0.5367139897772067,0.8424387974731311
เป็นคน,"to be a person, nationality marker",เป็น+คน,2,2,0.5255128147106198,0.5853464952317772,0.796802212791799
อยู่ทีมุม,at the corner,อยู่+ที+มุม,3,3,0.5274018745895844,0.3625323176383972,0.8001561043860456
อยู่ที่มุม,at the corner,อยู่+ที่+มุม,3,3,0.5308438025427319,0.39611995220184326,0.7104829307440073
สีแดง,red,สี+แดง,2,2,0.5314429407242295,0.4562143087387085,0.8612255429874615
ดำน้ำ,diving,ดำ+น้ำ,2,2,0.5330899406705871,0.41333234310150146,0.6302418361885584
ลิ้นจี๋,lychee,ลิ้น+จี๋,2,2,0.538240576011042,0.4347766637802124,0.9700275617912149
