thai,parts,n_parts,per_part_cos,min_part_cos,mean_part_cos,max_part_cos,gap,sum_rank
ยกเว้น,ยก+เว้น,2,0.115;0.376,0.11516785621643066,0.24563395977020264,0.3761000633239746,0.26093220710754395,1
กลางคืน,กลาง+คืน,2,0.172;0.117,0.11719761788845062,0.14481821656227112,0.1724388152360916,0.05524119734764099,16
กลางคืน,กลาง+คืน,2,0.172;0.117,0.11719761788845062,0.14481821656227112,0.1724388152360916,0.05524119734764099,16
เท่าไร,เท่า+ไร,2,0.239;0.122,0.12155149132013321,0.18028711155056953,0.23902273178100586,0.11747124046087265,3
เท่าไร,เท่า+ไร,2,0.239;0.122,0.12155149132013321,0.18028711155056953,0.23902273178100586,0.11747124046087265,3
อย่างไร,อย่าง+ไร,2,0.231;0.133,0.13338680565357208,0.18227942287921906,0.23117204010486603,0.09778523445129395,8
สี่แยก,สี่+แยก,2,0.135;0.390,0.13547386229038239,0.2626364603638649,0.3897990584373474,0.254325196146965,10
ลาก่อน,ลา+ก่อน,2,0.386;0.136,0.13552647829055786,0.26066820323467255,0.38580992817878723,0.25028344988822937,1
ลาก่อน,ลา+ก่อน,2,0.386;0.136,0.13552647829055786,0.26066820323467255,0.38580992817878723,0.25028344988822937,1
น้ำใจ,น้ำ+ใจ,2,0.138;0.430,0.13806208968162537,0.2841881960630417,0.430314302444458,0.29225221276283264,5
ทางลัด,ทาง+ลัด,2,0.139;0.345,0.13855688273906708,0.24189729243516922,0.34523770213127136,0.20668081939220428,2
ทางลัด,ทาง+ลัด,2,0.139;0.345,0.13855688273906708,0.24189729243516922,0.34523770213127136,0.20668081939220428,2
เพิ่งจะ,เพิ่ง+จะ,2,0.894;0.139,0.13871696591377258,0.5163843780755997,0.8940517902374268,0.7553348243236542,2
เพิ่งจะ,เพิ่ง+จะ,2,0.894;0.139,0.13871696591377258,0.5163843780755997,0.8940517902374268,0.7553348243236542,2
ร้องไห้,ร้อง+ไห้,2,0.528;0.140,0.1402074247598648,0.3341226354241371,0.5280378460884094,0.3878304213285446,1
เกินไป,เกิน+ไป,2,0.339;0.140,0.14047755300998688,0.2397666946053505,0.3390558362007141,0.19857828319072723,7
เกินไป,เกิน+ไป,2,0.339;0.140,0.14047755300998688,0.2397666946053505,0.3390558362007141,0.19857828319072723,7
แนะนำ,แนะ+นำ,2,0.447;0.141,0.14065320789813995,0.2940758541226387,0.44749850034713745,0.3068452924489975,1
มันฝรั่ง,มัน+ฝรั่ง,2,0.238;0.143,0.1433696150779724,0.19075843691825867,0.23814725875854492,0.09477764368057251,83
พรุ่งนี้,พรุ่ง+นี้,2,0.214;0.145,0.14474454522132874,0.179219551384449,0.21369455754756927,0.06895001232624054,16
พรุ่งนี้,พรุ่ง+นี้,2,0.214;0.145,0.14474454522132874,0.179219551384449,0.21369455754756927,0.06895001232624054,16
คะน้า,คะ+น้า,2,0.173;0.145,0.14483526349067688,0.15895142406225204,0.1730675846338272,0.02823232114315033,115
คะน้า,คะ+น้า,2,0.173;0.145,0.14483526349067688,0.15895142406225204,0.1730675846338272,0.02823232114315033,115
มีน้ำใจ,มี+น้ำใจ,2,0.153;0.552,0.15264928340911865,0.35243478417396545,0.5522202849388123,0.3995710015296936,3
วงเวียน,วง+เวียน,2,0.163;0.153,0.1526917666196823,0.15772733092308044,0.16276289522647858,0.010071128606796265,3
วงเวียน,วง+เวียน,2,0.163;0.153,0.1526917666196823,0.15772733092308044,0.16276289522647858,0.010071128606796265,3
ทั้งหมด,ทั้ง+หมด,2,0.163;0.153,0.15271936357021332,0.1577063426375389,0.1626933217048645,0.009973958134651184,24
ทั้งหมด,ทั้ง+หมด,2,0.163;0.153,0.15271936357021332,0.1577063426375389,0.1626933217048645,0.009973958134651184,24
ชาเขียว,ชา+เขียว,2,0.432;0.158,0.1581130027770996,0.2952864319086075,0.43245986104011536,0.27434685826301575,7
ชาเขียว,ชา+เขียว,2,0.432;0.158,0.1581130027770996,0.2952864319086075,0.43245986104011536,0.27434685826301575,7
กำลัง,กำ+ลัง,2,0.158;0.163,0.15842121839523315,0.1605892926454544,0.16275736689567566,0.004336148500442505,5
กำลัง,กำ+ลัง,2,0.158;0.163,0.15842121839523315,0.1605892926454544,0.16275736689567566,0.004336148500442505,5
กลางวัน,กลาง+วัน,2,0.165;0.242,0.16503462195396423,0.2036581113934517,0.24228160083293915,0.07724697887897491,25
กลางวัน,กลาง+วัน,2,0.165;0.242,0.16503462195396423,0.2036581113934517,0.24228160083293915,0.07724697887897491,25
ที่ไหน,ที่+ไหน,2,0.165;0.498,0.16533921658992767,0.33156856149435043,0.4977979063987732,0.3324586898088455,3
ที่ไหน,ที่+ไหน,2,0.165;0.498,0.16533921658992767,0.33156856149435043,0.4977979063987732,0.3324586898088455,3
ที่ไหน,ที่+ไหน,2,0.165;0.498,0.16533921658992767,0.33156856149435043,0.4977979063987732,0.3324586898088455,3
